participant_id,recording_conditions,original_command,transcribed_text,word_error_rate,category,complexity,expected_function,expected_params,actual_function,actual_params,tier_used,success,correct_response,latency_ms,timestamp
P001,low,Turn off flashlight,Turn off flashlight,0,direct,low,toggleFlashlight,"{""enable"": false}",toggleFlashlight,"{""enable"": false}",fallback,TRUE,TRUE,916,2025-11-17T00:10:03.389205
P001,low,Quiet mode for 1 hour,Quiet mod for 1 hour,0.2,temporal,medium,setDoNotDisturb,"{""durationMinutes"": 60}",setDoNotDisturb,"{""durationMinutes"": 60}",fallback,TRUE,TRUE,996,2025-11-20T00:10:03.390212
P001,low,I need quiet time for one hour,I need quiet time for one hour,0,temporal,high,setDoNotDisturb,"{""durationMinutes"": 60}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,TRUE,FALSE,983,2025-11-16T00:10:03.390212
P001,low,Activate torch,Activate torch,0,direct,low,toggleFlashlight,"{""enable"": true}",toggleFlashlight,"{""enable"": false}",fallback,TRUE,FALSE,918,2025-11-16T00:10:03.390212
P001,low,Make it suitable for cooking,Make it suitable for cooking,0,contextual,very_high,setVolume,"{""volumePercent"": 60}",,{},fallback,FALSE,FALSE,1076,2025-11-16T00:10:03.390212
P001,low,Prepare for office meeting,Prepare for office meeting,0,contextual,high,setDoNotDisturb,"{""durationMinutes"": 60}",,{},fallback,FALSE,FALSE,937,2025-11-15T00:10:03.391208
P001,low,Make it loud for music,Make it loud for music,0,contextual,medium,setVolume,"{""volumePercent"": 90}",setVolume,{},fallback,FALSE,FALSE,1104,2025-11-17T00:10:03.391208
P001,low,Enable silence for 2 hours,Enable silence for 2 hours,0,temporal,medium,setDoNotDisturb,"{""durationMinutes"": 120}",setDoNotDisturb,"{""durationMinutes"": 120}",fallback,TRUE,TRUE,1146,2025-11-20T00:10:03.391208
P001,low,Silence for the next 50 minutes,Silence for the next 50 minutes,0,temporal,medium,setDoNotDisturb,"{""durationMinutes"": 50}",setDoNotDisturb,"{""durationMinutes"": 50}",fallback,TRUE,TRUE,1060,2025-11-14T00:10:03.391208
P001,low,Turn on the light,Turn on the light,0,direct,medium,toggleFlashlight,"{""enable"": true}",toggleFlashlight,"{""enable"": true}",fallback,TRUE,TRUE,985,2025-11-14T00:10:03.392231
P002,medium,Silence phone during dinner time,Silence phon during dinner time,0.2,rule,medium,createRule,"{""trigger"": ""dinner time"", ""action"": ""enable_dnd""}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,TRUE,FALSE,1045,2025-11-16T00:10:03.392542
P002,medium,Set to minimum volume,Set to minimum volume,0,parameter,medium,setVolume,"{""volumePercent"": 0}",setVolume,"{""volumePercent"": 20}",fallback,TRUE,FALSE,921,2025-11-16T00:10:03.392542
P002,medium,Change to 85 percent,Change to 85 percent,0,parameter,medium,setVolume,"{""volumePercent"": 85}",,{},fallback,FALSE,FALSE,1109,2025-11-18T00:10:03.392542
P002,medium,Make it loud for music,Make et loud foa music,0.4,contextual,medium,setVolume,"{""volumePercent"": 90}",setVolume,{},fallback,FALSE,FALSE,916,2025-11-19T00:10:03.392542
P002,medium,Enable silence for 2 hours,Enable silence for 2 ours,0.2,temporal,medium,setDoNotDisturb,"{""durationMinutes"": 120}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,TRUE,FALSE,1047,2025-11-13T00:10:03.392542
P002,medium,Turn off sounds while in library,Turn off sounds while in library,0,rule,high,createRule,"{""trigger"": ""in library"", ""action"": ""mute""}",createRule,"{""trigger"": ""in library"", ""action"": ""mute""}",fallback,TRUE,TRUE,1015,2025-11-17T00:10:03.392542
P002,medium,Mute during meetings,Mute during meetings,0,rule,medium,createRule,"{""trigger"": ""during meetings"", ""action"": ""mute""}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,TRUE,FALSE,1031,2025-11-19T00:10:03.392542
P002,medium,Enable do not disturb mode for 25 minutes,Enable do not disturb eode for 25 minutes,0.125,temporal,low,setDoNotDisturb,"{""durationMinutes"": 25}",setDoNotDisturb,"{""durationMinutes"": 25}",fallback,TRUE,TRUE,966,2025-11-18T00:10:03.393550
P002,medium,Turn the flashlight on,Turn the flashlight on,0,direct,low,toggleFlashlight,"{""enable"": true}",toggleFlashlight,"{""enable"": true}",fallback,TRUE,TRUE,950,2025-11-19T00:10:03.393550
P002,medium,Do not disturb for 15 minutes,Do not disturb for 15 minutes,0,temporal,low,setDoNotDisturb,"{""durationMinutes"": 15}",setDoNotDisturb,"{""durationMinutes"": 15}",fallback,TRUE,TRUE,1087,2025-11-15T00:10:03.393550
