participant_id,participant_age,participant_gender,participant_accent,recording_conditions,original_command,transcribed_text,word_error_rate,category,complexity,expected_function,expected_params,actual_function,actual_params,tier_used,success,correct_response,latency_ms,timestamp
P001,23,F,American,low,Turn off flashlight,Turn off flesh light,0.667,direct,low,toggleFlashlight,"{""enable"": false}",toggleFlashlight,"{""enable"": false}",fallback,True,True,1008,2025-11-23T22:57:54.318548
P001,23,F,American,low,Quiet mode for 1 hour,Quiet mode for 1 hour,0.0,temporal,medium,setDoNotDisturb,"{""durationMinutes"": 60}",setDoNotDisturb,"{""durationMinutes"": 60}",fallback,True,True,1044,2025-11-21T22:57:54.318548
P001,23,F,American,low,I need quiet time for one hour,I need quiet time for one hour,0.0,temporal,high,setDoNotDisturb,"{""durationMinutes"": 60}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,True,False,994,2025-11-23T22:57:54.319547
P001,23,F,American,low,Max brightness,Max brightness,0.0,direct,low,setScreenBrightness,"{""brightnessPercent"": 100}",setScreenBrightness,"{""brightnessPercent"": 100}",llm,True,True,2307,2025-11-19T22:57:54.319547
P001,23,F,American,low,Make it suitable for cooking,Make it suitable for cooking,0.0,contextual,very_high,setVolume,"{""volumePercent"": 60}",,{},fallback,False,False,1076,2025-11-19T22:57:54.319547
P001,23,F,American,low,Prepare for office meeting,Prepare for office meeting,0.0,contextual,high,setDoNotDisturb,"{""durationMinutes"": 60}",,{},fallback,False,False,937,2025-11-18T22:57:54.319547
P001,23,F,American,low,Make it loud for music,Make it loud for music,0.0,contextual,medium,setVolume,"{""volumePercent"": 90}",setVolume,{},fallback,False,False,1104,2025-11-20T22:57:54.319547
P001,23,F,American,low,Enable silence for 2 hours,Enable silence for 2 hours,0.0,temporal,medium,setDoNotDisturb,"{""durationMinutes"": 120}",setDoNotDisturb,"{""durationMinutes"": 120}",fallback,True,True,1146,2025-11-23T22:57:54.319547
P001,23,F,American,low,Silence for the next 50 minutes,Silence for the next 50 minutes,0.0,temporal,medium,setDoNotDisturb,"{""durationMinutes"": 50}",setDoNotDisturb,"{""durationMinutes"": 50}",fallback,True,True,1060,2025-11-17T22:57:54.319547
P001,23,F,American,low,Torch on please,Torch on please,0.0,direct,low,toggleFlashlight,"{""enable"": true}",toggleFlashlight,"{""enable"": true}",fallback,True,True,1088,2025-11-19T22:57:54.319547
P001,23,F,American,low,Brightness suitable for dark room,Brightness suitable for dark room,0.0,contextual,very_high,setScreenBrightness,"{""brightnessPercent"": 20}",setScreenBrightness,"{""brightnessPercent"": 20}",fallback,True,True,936,2025-11-23T22:57:54.319547
P001,23,F,American,low,Turn off alerts while exercising,Turn off alerts while exercising,0.0,rule,medium,createRule,"{""trigger"": ""exercising"", ""action"": ""mute""}",createRule,"{""trigger"": ""exercising"", ""action"": ""mute""}",fallback,True,True,1045,2025-11-19T22:57:54.320550
P002,28,M,British,medium,Silence when in meditation,Silence when in meditation,0.0,rule,high,createRule,"{""trigger"": ""in meditation"", ""action"": ""enable_dnd""}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,True,False,1109,2025-11-21T22:57:54.320550
P002,28,M,British,medium,Set brightness for reading,Set brightness for reading,0.0,contextual,high,setScreenBrightness,"{""brightnessPercent"": 70}",setScreenBrightness,"{""brightnessPercent"": 70}",fallback,True,True,1092,2025-11-21T22:57:54.320550
P002,28,M,British,medium,Turn on do not disturb for 30 minutes,Turn on do not disturb for 30 minutes,0.0,temporal,medium,setDoNotDisturb,"{""durationMinutes"": 30}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,True,True,942,2025-11-22T22:57:54.320550
P002,28,M,British,medium,Torch off please,Torch off please,0.0,direct,low,toggleFlashlight,"{""enable"": false}",toggleFlashlight,"{""enable"": false}",fallback,True,True,898,2025-11-16T22:57:54.320550
P002,28,M,British,medium,Make screen brighter,Make screen brighter,0.0,direct,low,setScreenBrightness,"{""brightnessPercent"": 100}",setScreenBrightness,"{""brightnessPercent"": 100}",fallback,True,True,1015,2025-11-20T22:57:54.320550
